table_name,column_name,data_type,is_nullable,column_default,referenced_table,referenced_column,constraint_name
jt_ent_processes_ent_it_systems_join,ent_it_systems_year,integer,NO,null,ent_it_systems,id,jt_ent_processes_ent_it_syste_ent_it_systems_id_ent_it_sys_fkey
jt_ent_processes_ent_it_systems_join,ent_it_systems_year,integer,NO,null,ent_it_systems,year,jt_ent_processes_ent_it_syste_ent_it_systems_id_ent_it_sys_fkey
jt_ent_projects_ent_change_adoption_join,uid,integer,NO,nextval('jt_ent_projects_ent_change_adoption_join_uid_seq'::regclass),null,null,null
jt_ent_projects_ent_change_adoption_join,ent_projects_id,text,NO,null,ent_projects,id,fk_proj
jt_ent_projects_ent_change_adoption_join,ent_projects_id,text,NO,null,ent_projects,year,fk_proj
jt_ent_projects_ent_change_adoption_join,ent_projects_year,integer,NO,null,ent_projects,year,fk_proj
jt_ent_projects_ent_change_adoption_join,ent_projects_year,integer,NO,null,ent_projects,id,fk_proj
jt_ent_projects_ent_change_adoption_join,ent_change_adoption_id,text,NO,null,ent_change_adoption,year,fk_change
jt_ent_projects_ent_change_adoption_join,ent_change_adoption_id,text,NO,null,ent_change_adoption,id,fk_change
jt_ent_projects_ent_change_adoption_join,ent_change_adoption_year,integer,NO,null,ent_change_adoption,id,fk_change
jt_ent_projects_ent_change_adoption_join,ent_change_adoption_year,integer,NO,null,ent_change_adoption,year,fk_change
jt_ent_projects_ent_it_systems_join,ent_projects_id,character varying,NO,null,null,null,null
jt_ent_projects_ent_it_systems_join,ent_projects_year,integer,NO,null,null,null,null
jt_ent_projects_ent_it_systems_join,ent_it_systems_id,character varying,NO,null,null,null,null
jt_ent_projects_ent_it_systems_join,ent_it_systems_year,integer,NO,null,null,null,null
jt_ent_projects_ent_it_systems_join,uid,bigint,NO,null,null,null,null
jt_ent_projects_ent_org_units_join,uid,bigint,NO,null,null,null,null
jt_ent_projects_ent_org_units_join,ent_projects_id,character varying,NO,null,ent_projects,year,jt_ent_projects_ent_org_units_ent_projects_id_ent_projects_fkey
jt_ent_projects_ent_org_units_join,ent_projects_id,character varying,NO,null,ent_projects,id,jt_ent_projects_ent_org_units_ent_projects_id_ent_projects_fkey
jt_ent_projects_ent_org_units_join,ent_projects_year,integer,NO,null,ent_projects,year,jt_ent_projects_ent_org_units_ent_projects_id_ent_projects_fkey
jt_ent_projects_ent_org_units_join,ent_projects_year,integer,NO,null,ent_projects,id,jt_ent_projects_ent_org_units_ent_projects_id_ent_projects_fkey
jt_ent_projects_ent_org_units_join,ent_org_units_id,character varying,NO,null,ent_org_units,year,jt_ent_projects_ent_org_units_ent_org_units_id_ent_org_uni_fkey
jt_ent_projects_ent_org_units_join,ent_org_units_id,character varying,NO,null,ent_org_units,id,jt_ent_projects_ent_org_units_ent_org_units_id_ent_org_uni_fkey
jt_ent_projects_ent_org_units_join,ent_org_units_year,integer,NO,null,ent_org_units,year,jt_ent_projects_ent_org_units_ent_org_units_id_ent_org_uni_fkey
jt_ent_projects_ent_org_units_join,ent_org_units_year,integer,NO,null,ent_org_units,id,jt_ent_projects_ent_org_units_ent_org_units_id_ent_org_uni_fkey
jt_ent_projects_ent_org_units_join,relationship_type,character varying,YES,null,null,null,null
jt_ent_projects_ent_processes_join,ent_projects_id,character varying,NO,null,null,null,null
jt_ent_projects_ent_processes_join,ent_projects_year,integer,NO,null,null,null,null
jt_ent_projects_ent_processes_join,ent_processes_id,character varying,NO,null,null,null,null
jt_ent_projects_ent_processes_join,ent_processes_year,integer,NO,null,null,null,null
jt_ent_projects_ent_processes_join,uid,bigint,NO,null,null,null,null
jt_ent_risks_sec_performance_join,ent_risks_id,character varying,NO,null,null,null,null
jt_ent_risks_sec_performance_join,ent_risks_year,integer,NO,null,null,null,null
jt_ent_risks_sec_performance_join,sec_performance_id,character varying,NO,null,null,null,null
jt_ent_risks_sec_performance_join,sec_performance_year,integer,NO,null,null,null,null
jt_ent_risks_sec_performance_join,uid,bigint,NO,null,null,null,null
jt_ent_risks_sec_policy_tools_join,ent_risks_id,character varying,YES,null,null,null,null
jt_ent_risks_sec_policy_tools_join,ent_risks_year,integer,YES,null,null,null,null
jt_ent_risks_sec_policy_tools_join,sec_policy_tools_id,character varying,YES,null,sec_policy_tools,year,jt_ent_risks_sec_policy_tools_sec_policy_tools_id_sec_poli_fkey
jt_ent_risks_sec_policy_tools_join,sec_policy_tools_id,character varying,YES,null,sec_policy_tools,id,jt_ent_risks_sec_policy_tools_sec_policy_tools_id_sec_poli_fkey
jt_ent_risks_sec_policy_tools_join,sec_policy_tools_year,integer,YES,null,sec_policy_tools,id,jt_ent_risks_sec_policy_tools_sec_policy_tools_id_sec_poli_fkey
jt_ent_risks_sec_policy_tools_join,sec_policy_tools_year,integer,YES,null,sec_policy_tools,year,jt_ent_risks_sec_policy_tools_sec_policy_tools_id_sec_poli_fkey
jt_ent_risks_sec_policy_tools_join,uid,bigint,NO,nextval('jt_ent_risks_sec_policy_tools_join_uid_seq'::regclass),null,null,null
jt_sec_admin_records_sec_businesses_join,uid,bigint,NO,null,null,null,null
jt_sec_admin_records_sec_businesses_join,sec_admin_records_id,character varying,NO,null,sec_admin_records,id,jt_sec_admin_records_sec_busi_sec_admin_records_id_sec_adm_fkey
jt_sec_admin_records_sec_businesses_join,sec_admin_records_id,character varying,NO,null,sec_admin_records,year,jt_sec_admin_records_sec_busi_sec_admin_records_id_sec_adm_fkey
jt_sec_admin_records_sec_businesses_join,sec_admin_records_year,integer,NO,null,sec_admin_records,id,jt_sec_admin_records_sec_busi_sec_admin_records_id_sec_adm_fkey
jt_sec_admin_records_sec_businesses_join,sec_admin_records_year,integer,NO,null,sec_admin_records,year,jt_sec_admin_records_sec_busi_sec_admin_records_id_sec_adm_fkey
jt_sec_admin_records_sec_businesses_join,sec_businesses_id,character varying,NO,null,sec_businesses,year,jt_sec_admin_records_sec_busi_sec_businesses_id_sec_busine_fkey
jt_sec_admin_records_sec_businesses_join,sec_businesses_id,character varying,NO,null,sec_businesses,id,jt_sec_admin_records_sec_busi_sec_businesses_id_sec_busine_fkey
jt_sec_admin_records_sec_businesses_join,sec_businesses_year,integer,NO,null,sec_businesses,year,jt_sec_admin_records_sec_busi_sec_businesses_id_sec_busine_fkey
jt_sec_admin_records_sec_businesses_join,sec_businesses_year,integer,NO,null,sec_businesses,id,jt_sec_admin_records_sec_busi_sec_businesses_id_sec_busine_fkey
jt_sec_admin_records_sec_citizens_join,uid,bigint,NO,null,null,null,null
